아파트,지역구,면적,거래금액,건축년도
대림현대,영등포구,59.76,68000,1999.0
대림현대,영등포구,84.96,86000,1999.0
대림현대,영등포구,84.96,77000,1999.0
대상3,마포구,59.61,71500,2000.0
대상타운현대아파트,도봉구,133.97,105000,2001.0
대우푸르지오,서대문구,59.584,98500,2002.0
대원칸타빌,양천구,81.233,137000,2001.0
대치현대,강남구,59.82,238000,1999.0
대치현대,강남구,59.82,250000,1999.0
더클래시,마포구,59.97,225000,2022.0
더클래시,마포구,59.97,210000,2022.0
도곡렉슬,강남구,59.981,284000,2006.0
도곡렉슬,강남구,84.998,360000,2006.0
도곡렉슬,강남구,119.89,391000,2006.0
태영,강서구,84.98,90000,1998.0
풍림아파트B,노원구,31.32,29800,2001.0
태릉우성아파트,노원구,66.87,74500,1985.0
텐즈힐(2단지),성동구,59.96,180000,2014.0
한신아파트,금천구,129.66,78000,1991.0
한양아파트,송파구,64.26,207000,1983.0
해태보라매타워,관악구,84.04,88000,1996.0
풍림아이원플러스,서초구,35.903,36500,2004.0
한솔,영등포구,59.28,75500,1999.0
한신아파트,동대문구,59.84,99000,2004.0
한신아파트,동대문구,84.76,117000,2004.0
한양1차(영동한양),강남구,91.21,549000,1977.0
한신,서초구,84.52,337000,1992.0
초안산신도브래뉴,도봉구,78.297,59000,2005.0
청솔샤르망1001동,강서구,84.744,70800,2004.0
한진(609-1),성북구,59.58,73000,1998.0
청솔(시영7),노원구,39.78,43800,1989.0
청량리역롯데캐슬 SKY-L65,동대문구,102.922,246000,2023.0
청구아파트,강남구,84.99,262000,1992.0
청구아파트,도봉구,84.97,51000,1994.0
힐스테이트 메디알레,은평구,74.9,130234,0.0
초원동아,강동구,63.68,85000,1997.0
코오롱오투빌2,강서구,119.78,110000,2002.0
청구아파트,도봉구,84.97,50000,1994.0
트리지움,송파구,114.7,361000,2007.0
한신,서초구,84.52,310000,1992.0
천연뜨란채,서대문구,30.17,63000,2006.0
파크리오,송파구,84.79,285000,2008.0
태영데시앙,영등포구,84.93,134000,2005.0
한신플러스C,성북구,84.95,102000,2004.0
한마을,구로구,59.57,89500,1999.0
진로아파트,중랑구,101.86,88500,1995.0
중앙하이츠빌2단지,성북구,43.92,49500,2005.0
중앙하이츠,구로구,79.97,71300,1987.0
중앙하이츠,강동구,84.95,80000,2001.0
중앙하이츠,강동구,59.85,82000,1998.0
한양수자인에듀힐즈,구로구,106.876,80000,2019.0
트리지움,송파구,59.88,275000,2007.0
한일,강북구,61.65,44000,1990.0
한화오벨리스크,마포구,38.08,53000,2004.0
한진해모로,중구,59.76,122000,2001.0
해가든(454-1),강동구,82.97,86000,2005.0
파크리오,송파구,84.79,275000,2008.0
한마을,구로구,59.57,85000,1999.0
프라이어팰리스,강동구,114.272,180000,2007.0
프라이어팰리스,강동구,84.988,168000,2007.0
프라이어팰리스,강동구,84.988,164000,2007.0
한신,동대문구,59.97,83000,1997.0
한신,동대문구,59.97,80500,1997.0
테헤란아이파크,강남구,70.833,286000,2014.0
창동주공4단지,도봉구,41.3,37000,1991.0
한남아이파크애비뉴,용산구,49.697,90000,2017.0
해주,양천구,59.59,42000,2001.0
한신,성북구,113.67,95000,1998.0
한신1,노원구,27.0,29500,1988.0
한일시티타워(우성아트빌),강동구,102.24,57000,2013.0
벽산라이브파크,강북구,84.89,62000,2004.0
한신,구로구,59.88,61000,1988.0
한신,구로구,45.563,48400,1988.0
한신,구로구,45.563,49500,1988.0
한신,서초구,84.52,344000,1992.0
한신,도봉구,84.94,56000,1995.0
한승,송파구,190.97,260000,2006.0
한솔솔파크,강서구,84.87,130000,2005.0
벽산,성동구,59.9,163800,2001.0
방배우성,서초구,117.19,250000,1991.0
벽산,중랑구,59.783,51000,2000.0
한솔마을,강남구,84.73,281000,1994.0
한성아파트,동작구,59.87,110500,1995.0
한보미도맨션2,강남구,159.15,540000,1985.0
중앙하이츠빌2단지,성북구,59.818,65000,2005.0
방배임광3차,서초구,44.61,85000,1988.0
한마을,구로구,59.57,95000,1999.0
한남하이츠,성동구,149.39,355000,1982.0
한남아이파크애비뉴,용산구,46.243,85900,2017.0
벽산,금천구,84.99,53000,2000.0
르메이에르,동작구,59.4,76500,2001.0
한강밤섬자이,마포구,118.28,235500,2010.0
한강극동,송파구,84.76,157500,1995.0
한강2차대주피오레,마포구,84.97,127000,2003.0
한가람,용산구,114.96,295000,1998.0
학마을1단지,양천구,49.99,59500,2000.0
학마을1단지,양천구,49.99,60000,2000.0
번동솔그린,강북구,59.82,43000,1999.0
반포미도2차아파트,서초구,71.49,286000,1989.0
백련산힐스테이트4차,은평구,84.98,110000,2018.0
반포자이,서초구,194.692,710000,2009.0
레이크팰리스,송파구,116.19,340000,2006.0
리센츠,송파구,84.99,330000,2008.0
리센츠,송파구,27.68,175000,2008.0
마곡엠벨리(15단지),강서구,59.79,108310,2014.0
목동신시가지3,양천구,64.98,235000,1986.0
마곡엠밸리9단지,강서구,59.86,152500,2021.0
하계1청구,노원구,84.6,96500,1997.0
우일타운,중구,114.57,50000,1994.0
목동신시가지7,양천구,101.2,318000,1986.0
목동우성2,양천구,84.96,124800,2000.0
문정대우푸르지오1차,송파구,59.84,142000,1999.0
밤섬힐스테이트,마포구,59.4,155000,1999.0
방배씨티(보성),서초구,74.16,153500,2000.0
풍림아파트A,노원구,84.99,94000,2001.0
푸른마을아파트101동~111동,강남구,84.93,242000,1994.0
마곡수명산파크7단지,강서구,84.53,106000,2008.0
폴라씨엘로,서초구,124.61,210000,2015.0
폭포동4단지힐스테이트(408~422동)BL3-9,은평구,166.96,123000,2010.0
마곡13단지힐스테이트마스터,강서구,84.988,162500,2017.0
문정시영,송파구,35.46,79800,1989.0
포레나노원,노원구,59.986,70000,2020.0
문정시영,송파구,39.69,104000,1989.0
문정시영,송파구,39.69,103000,1989.0
문정시영,송파구,39.69,111500,1989.0
트리지움,송파구,84.95,313000,2007.0
마곡 한진해모로,강서구,84.97,75500,2004.0
백련산파크자이,은평구,59.789,90000,2021.0
롯데캐슬프레미어,강남구,121.931,385000,2007.0
트리지움,송파구,84.95,308000,2007.0
트리지움,송파구,84.83,319000,2007.0
트리지움,송파구,84.83,310000,2007.0
트리지움,송파구,59.88,285000,2007.0
트레벨,강남구,33.48,51000,2002.0
로얄동아,광진구,84.75,174000,1999.0
마천금호어울림1차아파트,송파구,81.18,116500,2002.0
마포그랑자이,마포구,59.96,208000,2020.0
미성,구로구,83.67,96000,1987.0
마포동원베네스트,마포구,58.65,145000,2010.0
마포래미안푸르지오2단지,마포구,84.597,245000,2014.0
마포래미안푸르지오3단지,마포구,59.945,203000,2014.0
마포월드컵제이스카이,마포구,59.95,81000,2021.0
북한산현대힐스테이트3차아파트,은평구,84.96,88000,2010.0
북한산현대힐스테이트3차아파트,은평구,59.99,85000,2010.0
럭키남서울아파트,금천구,49.75,48000,1981.0
북한산푸르지오,은평구,84.99,112000,2015.0
힐스테이트리슈빌강일,강동구,84.893,150000,2023.0
힐스테이트녹번역,은평구,84.99,143000,2022.0
마포중동현대,마포구,59.88,103000,2001.0
전농우성,동대문구,84.84,89000,1992.0
힐스테이트녹번,은평구,59.938,124500,2019.0
흑석동양아파트,동작구,59.511,143500,2003.0
후암미주,용산구,64.26,95000,1980.0
메이플자이,서초구,59.166,398000,2025.0
메이플자이,서초구,99.292,550000,2025.0
메이플자이,서초구,135.141,660000,2025.0
북한산아이파크5차,도봉구,101.917,108000,2004.0
홍제현대,서대문구,75.15,97500,1992.0
홍제센트럴IPARK,서대문구,84.972,152500,2020.0
호동,광진구,69.36,79000,2002.0
미아동부센트레빌,강북구,84.89,123000,2006.0
북한산래미안아파트(1단지),은평구,114.998,119500,2010.0
형인허브빌,강동구,75.3,64000,2008.0
형우럭스빌(33-1),종로구,103.07,75000,2005.0
현대홈타운스위트,구로구,84.985,41500,2004.0
면목동금호어울림아파트,중랑구,84.872,76500,2005.0
북한산더샵,서대문구,84.832,92500,2017.0
현대프라임,광진구,126.66,283000,1997.0
현대팰리스,광진구,51.16,55000,2022.0
현대팰리스,광진구,51.16,55000,2022.0
롯데캐슬,중구,114.9,145000,2008.0
북한산더샵,서대문구,84.747,136000,2017.0
면목루브루,중랑구,54.56,49000,2021.0
롯데캐슬골든힐스,성북구,84.932,114500,2019.0
면목한신,중랑구,35.3,30500,1987.0
현대코아아파트,강동구,83.55,81000,1999.0
현대아파트1동~3동,강남구,84.96,235000,1994.0
롯데캐슬루나,노원구,84.985,91400,2006.0
롯데캐슬리베,강남구,121.089,360000,2008.0
현대리버빌2지구,송파구,40.95,81000,1999.0
롯데캐슬에듀포레,동작구,59.871,203500,2018.0
명인갤러리,강남구,84.78,112000,2002.0
현대그린,서대문구,84.96,72500,1996.0
현대그린,서대문구,84.96,69700,1996.0
현대I-PARK,성북구,114.55,115000,2003.0
현대3차,영등포구,84.89,136000,1997.0
부영,강서구,80.64,55500,1994.0
현대1,영등포구,84.75,82000,1992.0
부영,강서구,80.64,110500,1994.0
현대1,송파구,84.0,134000,1995.0
현대1,은평구,84.17,59000,1997.0
현대(관악),관악구,58.59,96000,1992.0
현대(고덕),강동구,84.91,189500,1986.0
현대(60동),송파구,84.46,148200,1991.0
봉천우성,관악구,84.96,109500,2000.0
현대,노원구,59.95,83500,2000.0
현대,동작구,84.57,125900,1996.0
현대,성동구,104.41,216000,1990.0
현대,노원구,84.95,114500,1988.0
목동삼성,양천구,84.77,158000,1996.0
헬리오시티,송파구,84.99,281000,2018.0
목동성원(926-8),양천구,59.4,153500,1997.0
헬리오시티,송파구,84.95,277500,2018.0
해태,양천구,84.05,47700,1999.0
해태,양천구,59.91,44000,1999.0
목동센트럴아이파크위브4단지,양천구,59.68,123500,2020.0
보람아파트,노원구,54.59,58000,1988.0
한화오벨리스크,마포구,39.91,60000,2004.0
한진해모로,중구,59.76,116500,2001.0
롯데캐슬클래식,서초구,120.18,370000,2006.0
한진한화그랑빌,노원구,59.94,106000,2002.0
한진(609-1),성북구,84.87,92500,1998.0
보람아파트,노원구,44.33,46000,1988.0
보람아파트,노원구,44.33,43500,1988.0
보라매삼성쉐르빌,동작구,163.83,159000,2003.0
한진(609-1),성북구,59.58,77800,1998.0
목동신시가지10,양천구,70.2,215000,1987.0
롯데캐슬퍼스트,강동구,102.34,190000,2008.0
벽산블루밍,관악구,59.99,106500,2005.0
한일시티타워(우성아트빌),강동구,116.28,59500,2013.0
한일시티타워(우성아트빌),강동구,116.28,60000,2013.0
한일시티타워(우성아트빌),강동구,102.24,57000,2013.0
한양팰리스,강남구,99.19,165000,2004.0
한양수자인사가정파크,중랑구,84.986,128000,2019.0
한양수자인사가정파크,중랑구,84.606,124000,2019.0
한신트리플,서초구,39.31,40500,2004.0
박석고개1단지힐스테이트(116~131동)BL2-1,은평구,59.85,92700,2009.0
한신아파트,동대문구,59.84,104000,2004.0
마곡우림필유아파트,강서구,84.897,90000,2003.0
롯데캐슬퍼스트,강동구,111.22,203000,2008.0
반도,용산구,136.21,350000,1977.0
반포래미안아이파크,서초구,99.92,436000,2018.0
한신아파트,금천구,129.66,80000,1991.0
한신무학,성동구,94.46,155000,1989.0
한신2,노원구,35.28,44900,1988.0
한신1,노원구,44.52,54700,1988.0
한신(개포),강남구,59.48,300000,1985.0
신현대12차,강남구,170.38,840000,1982.0
신트리3,양천구,84.25,110000,2000.0
신촌숲아이파크,마포구,111.024,250000,2019.0
신촌삼익,마포구,59.85,140000,1997.0
신안약수,양천구,68.0,45000,1985.0
신안,노원구,84.93,95000,1999.0
신안,노원구,84.93,90000,1999.0
신성노바빌아파트,송파구,59.78,120000,2000.0
신반포자이,서초구,59.86,389000,2018.0
신반포19,서초구,107.93,380000,1982.0
신목동파라곤,양천구,74.634,106000,2024.0
신목동파라곤,양천구,59.705,89000,2024.0
신림2차푸르지오,관악구,114.714,79500,2007.0
신동아아파트1,도봉구,70.62,45000,1986.0
신동아리버파크,동작구,59.67,134500,2001.0
신동아4,동작구,59.89,159500,1993.0
신동아,영등포구,67.41,59500,1987.0
신동아,동작구,37.74,45000,1993.0
신도브래뉴,금천구,55.55,57800,2002.0
신도림롯데아파트,구로구,84.93,107000,1999.0
신내우디안1단지,중랑구,84.65,78000,2014.0
신내9진흥,중랑구,49.93,54000,1996.0
신내9진흥,중랑구,49.93,50500,1996.0
DMC에코자이,서대문구,59.79,133000,2019.0
DMC롯데캐슬더퍼스트,은평구,59.96,110000,2021.0
DMC롯데캐슬더퍼스트,은평구,39.83,68800,2021.0
DMCSK뷰아이파크포레,은평구,84.95,111200,2025.0
2차한양아파트,송파구,146.96,250000,1984.0
올림픽파크포레온,강동구,84.99,280000,2024.0
우성,서초구,84.58,219000,1991.0
우방,성북구,84.92,50000,1999.0
올림픽파크포레온,강동구,84.99,290000,2024.0
용산파크타워(24-0),용산구,149.92,390000,2009.0
올림픽파크포레온,강동구,29.97,118000,2024.0
우일타운,중구,114.57,50000,1994.0
올림픽선수기자촌3단지,송파구,100.31,300000,1988.0
용마금호타운,중랑구,84.9,68000,1992.0
옥수파크힐스117동~125동,성동구,59.77,223000,2016.0
월곡래미안루나밸리,성북구,59.98,98000,2007.0
올림픽파크리움,송파구,14.671,14500,2016.0
우성1,영등포구,64.4,66500,1986.0
우장산롯데캐슬,강서구,177.86,147000,2003.0
옥수삼성,성동구,59.7,175000,1999.0
올림픽파크포레온,강동구,84.99,289000,2024.0
용명브릿지2차,강동구,84.28,48310,2006.0
올림픽파크포레온,강동구,84.99,225000,2024.0
우장산힐스테이트,강서구,59.98,138000,2005.0
우성2,영등포구,84.47,147500,1986.0
우리유앤미,서대문구,84.73,115000,2008.0
우방아파트,송파구,79.07,97000,2002.0
올림픽선수기자촌3단지,송파구,163.44,415000,1988.0
힐스테이트클래시안,영등포구,84.86,198000,2020.0
예성그린캐슬1차,관악구,84.76,95500,2003.0
영화아이닉스,구로구,84.98,62300,2005.0
영풍마드레빌,중랑구,84.848,70000,2004.0
올림픽파크포레온,강동구,84.99,278000,2024.0
염창3우성,강서구,84.96,60000,1993.0
염창1차한화꿈에그린,강서구,84.93,169000,2005.0
연지프로빌,양천구,103.52,98000,2002.0
역삼래미안,강남구,59.4,263500,2005.0
역삼동하나빌,강남구,52.31,80000,2002.0
여의도이튼브라운,영등포구,28.86,44400,2022.0
여의도이튼브라운,영등포구,28.86,44000,2022.0
"엘지,쌍용아파트",중랑구,68.12,68500,1996.0
에스케이허브진,강동구,33.71,31000,2004.0
에스케이북한산시티,강북구,59.98,66800,2004.0
에덴,도봉구,67.404,41500,2001.0
양지마을(대림)2,노원구,59.4,64300,1999.0
약수하이츠,중구,57.63,147000,1999.0
안암골벽산,동대문구,116.69,106000,2003.0
올림픽선수기자촌1단지,송파구,131.76,370000,1988.0
아인리베,강동구,83.5,73000,2005.0
아시아선수촌아파트,송파구,99.385,422000,1986.0
올림픽파크포레온,강동구,39.95,170000,2024.0
쎈트앤빌2,관악구,89.97,67000,2002.0
올림픽파크포레온,강동구,39.95,180000,2024.0
쌍용,동대문구,59.99,97000,2000.0
쌍용,송파구,84.85,155000,1994.0
제일(코오롱),강서구,84.83,93500,1999.0
카사빌,관악구,52.01,34000,2003.0
은평뉴타운 제각말 푸르지오(5-2단지),은평구,84.74,84000,2010.0
한신,서초구,84.52,344000,1992.0
디에이치반포라클라스,서초구,59.989,355000,2021.0
주주베B,은평구,13.35,13500,2014.0
은석,강북구,70.87,36000,2003.0
은빛2단지,노원구,59.95,52000,1998.0
주공17단지,도봉구,36.16,32000,1989.0
중앙하이츠빌2단지,성북구,59.818,65000,2005.0
등촌파밀리에더클래식101동,강서구,79.54,88500,2020.0
중앙하이츠빌2단지,성북구,84.95,75700,2005.0
종암에스케이,성북구,59.86,84200,1999.0
자선메르시안(119-15),은평구,67.68,47500,2003.0
코오롱,성북구,59.94,71000,1999.0
대치푸르지오써밋,강남구,84.966,320000,2023.0
둔촌푸르지오,강동구,59.98,145000,2010.0
둔촌푸르지오,강동구,59.98,148800,2010.0
일신건영휴먼빌,강서구,84.95,115000,2004.0
두산위브트레지움,강북구,59.54,88000,2011.0
잠실한솔,송파구,84.94,192000,2000.0
유원아파트,강동구,84.3,90000,1997.0
지엠벨리,강서구,25.61,24500,2019.0
두산6,중랑구,59.55,58000,1993.0
잠실엘스,송파구,84.8,327500,2008.0
두산,금천구,59.84,63300,1998.0
중계그린1단지,노원구,39.92,48000,1990.0
두산,서대문구,84.84,70000,1997.0
유로카운티,은평구,77.68,43000,2002.0
주공1,구로구,73.08,101800,1986.0
두산,종로구,59.95,90000,1999.0
주공2,구로구,41.3,70000,1987.0
주공5,노원구,44.52,50000,1992.0
종로센트레빌,종로구,59.92,97000,2008.0
두산,관악구,59.92,85000,2000.0
전농우성,동대문구,59.78,78000,1992.0
두산,관악구,59.92,121500,2000.0
두산,서대문구,59.96,128000,1999.0
전농우성,동대문구,84.84,89000,1992.0
주공5,노원구,44.52,49500,1992.0
두산,성북구,59.97,88000,1998.0
위례24단지(꿈에그린),송파구,51.77,152000,2013.0
위례24단지(꿈에그린),송파구,51.77,155000,2013.0
월드컵아이파크(667),마포구,59.73,115000,2009.0
래미안힐스테이트고덕,강동구,84.88,201000,2016.0
래미안힐스테이트고덕,강동구,84.83,198000,2016.0
대흥동태영아파트,마포구,59.4,167000,1999.0
이화에수풀,종로구,16.98,18500,2014.0
래미안하이베르,중구,117.0,125000,2011.0
주공6,노원구,44.1,45000,1993.0
동일스위트리버,동대문구,84.973,99000,2007.0
동원데자뷰,양천구,84.937,76900,2012.0
이펜하우스2단지,양천구,114.98,95000,2011.0
래미안퍼스티지,서초구,198.04,785000,2009.0
동양엔파트,중랑구,84.98,69000,2010.0
래미안파크팰리스,송파구,84.936,228000,2007.0
동양1차,동대문구,84.94,84500,2000.0
늘푸른동아,중랑구,84.97,85000,2002.0
동아청솔,도봉구,84.97,107000,1997.0
동아청솔,도봉구,59.76,89250,1997.0
주공7,노원구,44.1,38000,1993.0
정릉푸른마을동아,성북구,84.96,72500,2003.0
정릉힐스테이트3차,성북구,59.98,71500,2008.0
다솜금호,구로구,84.35,74000,1995.0
태강아파트(아이파크),노원구,49.6,62500,1999.0
동아그린,성동구,84.91,156000,1999.0
태강아파트(아이파크),노원구,59.34,75500,1999.0
중계그린1단지,노원구,49.5,64800,1990.0
당산계룡리슈빌3단지,영등포구,49.993,85000,2014.0
더샵 퍼스트월드,중랑구,98.91,153565,0.0
더클래시,마포구,43.27,150000,2022.0
중계무지개,노원구,39.96,48000,1991.0
독립문삼호,서대문구,75.66,133500,1995.0
독립문파크빌,서대문구,59.4,65000,2000.0
상계주공2(고층),노원구,60.5,66800,1987.0
돈암동더샵아파트,성북구,84.817,93800,2006.0
래미안장안,동대문구,84.774,130000,2003.0
돈암동삼성,성북구,114.66,93000,1999.0
주상복합두산,금천구,59.25,40500,1998.0
돈암현대아파트,성북구,41.58,46400,1991.0
중계무지개,노원구,39.96,43000,1991.0
중계무지개,노원구,49.54,65000,1991.0
동신,노원구,91.91,93000,1983.0
창동주공18단지,도봉구,45.9,52000,1988.0
대동,광진구,84.65,150000,1999.0
테라파크뷰,노원구,52.17,62000,2022.0
래미안위브,동대문구,84.99,158800,2014.0
테헤란로대우아이빌(891-6),강남구,59.83,90500,2004.0
이수브라운스톤상도(527-0),동작구,59.91,160000,2007.0
대림,송파구,84.915,246000,1985.0
대명비발디,강남구,83.72,114500,2003.0
대림아파트,동작구,59.84,143000,1993.0
이수브라운스톤돈암,성북구,59.99,78000,2004.0
대림아파트,동작구,59.84,154000,1993.0
동성1,중랑구,59.4,51000,1993.0
이수브라운스톤돈암,성북구,59.99,95000,2004.0
동부센트레빌,강남구,121.74,510000,2005.0
대원칸타빌,중랑구,102.634,83300,2003.0
대림아크로빌,양천구,174.25,203000,2003.0
현대팰리스,광진구,51.16,55000,2022.0
동서울한양,동대문구,76.41,69000,1989.0
래미안월곡,성북구,84.589,102000,2006.0
대우디오빌,강남구,30.03,26000,2002.0
잠실더샵루벤,송파구,106.887,220000,2025.0
천연뜨란채,서대문구,75.55,113000,2006.0
천왕이펜하우스4단지,구로구,84.97,75000,2011.0
천호동1차예전이룸아파트,강동구,84.3,66000,2004.0
래미안영등포프레비뉴,영등포구,84.98,174000,2015.0
래미안에스티움,영등포구,59.95,170000,2017.0
대조리치빌III,은평구,30.02,32000,2014.0
청계천두산위브더제니스,중구,124.367,143000,2014.0
청계푸르지오시티,동대문구,30.42,37800,2015.0
청광플러스원큐브2차,강동구,14.495,8900,2013.0
청광플러스원큐브3차,강동구,13.265,9000,2014.0
청구아파트,도봉구,84.97,50000,1994.0
래미안상도3차,동작구,84.96,165000,2004.0
청담자이,강남구,49.619,249000,2011.0
대우디오빌,강남구,30.03,28800,2002.0
래미안베라힐즈,은평구,84.95,130000,2019.0
청솔(시영7),노원구,49.5,53000,1989.0
장미아파트,은평구,79.57,49000,2001.0
이문삼성래미안아파트,동대문구,84.954,87000,2001.0
장미2,송파구,82.45,320000,1979.0
청암2단지,노원구,49.77,41000,2001.0
청호,동작구,59.85,117000,1997.0
래미안라센트,성북구,114.98,146300,2011.0
경희궁롯데캐슬,종로구,59.673,172000,2019.0
삼부컨비니언,성북구,59.94,70000,1998.0
자양우성7,광진구,84.93,180000,1998.0
대우,구로구,84.99,74500,1999.0
래미안라그란데,동대문구,84.97,175000,0.0
래미안대치팰리스,강남구,84.99,430000,2015.0
래미안그레이튼(진달래2차),강남구,120.37,340000,2010.0
래미안강동팰리스,강동구,84.97,171500,2017.0
자양우성7,광진구,59.94,156000,1998.0
래미안강남힐즈,강남구,101.95,238500,2014.0
래미안 허브리츠,동대문구,84.96,153000,2011.0
마포래미안푸르지오3단지,마포구,59.945,203000,2014.0
래미안베라힐즈,은평구,84.95,130000,2019.0
사가정센트럴아이파크,중랑구,84.87,115000,2020.0
사당롯데캐슬골든포레,동작구,84.985,156000,2021.0
사당우성2,동작구,59.89,165000,1993.0
사당우성2,동작구,118.25,200000,1993.0
사슴3,노원구,33.18,30000,1995.0
사슴3,노원구,39.6,34200,1995.0
산호시티빌,금천구,41.58,28500,2003.0
삼각산아이원,강북구,84.705,80000,2003.0
삼각산아이원,강북구,84.705,83000,2003.0
삼각산아이원,강북구,84.705,82000,2003.0
삼부컨비니언,성북구,59.94,70000,1998.0
삼부컨비니언,성북구,59.94,73000,1998.0
삼선현대힐스테이트,성북구,84.98,101000,2009.0
삼성,송파구,73.59,119000,1989.0
삼성꽃마을,강서구,84.68,60000,1997.0
삼성래미안,용산구,84.69,180000,2001.0
삼성래미안,영등포구,84.91,128000,2001.0
삼성래미안,강남구,84.89,310000,2001.0
삼성래미안트리베라2단지,강북구,113.89,117000,2010.0
삼성쉐르빌,양천구,221.44,281000,2003.0
삼성아파트,동작구,84.531,77300,2006.0
삼성한아름,강서구,84.89,85800,1993.0
삼익,강남구,49.2,210500,1992.0
삼익가든,강동구,146.54,177000,1984.0
삼익파크맨션,강동구,55.7,119000,1982.0
삼현팰리체,동대문구,84.1,60100,2011.0
삼환,강동구,84.92,170000,1992.0
상계주공10(고층),노원구,41.3,47000,1988.0
상계주공10(고층),노원구,58.01,68000,1988.0
상계주공10(고층),노원구,59.39,64800,1988.0
상계주공10(고층),노원구,68.86,74500,1988.0
상계주공10(저층),노원구,47.34,47000,1988.0
상계주공14(고층),노원구,45.9,40000,1989.0
상계주공16(고층),노원구,59.39,52500,1988.0
상계주공2(고층),노원구,60.5,66800,1987.0
상계주공2(저층),노원구,46.04,48000,1987.0
상계주공4(고층),노원구,41.3,50000,1988.0
상암월드컵파크4단지,마포구,84.76,155000,2006.0
서강오벨리스크스위트,마포구,84.96,153000,2007.0
서광아침의빛,동대문구,84.98,84300,2008.0
서교푸르지오,마포구,92.448,105000,2004.0
서대문노블루체,서대문구,27.59,29500,2018.0
서리풀e편한세상,서초구,84.97,266100,2010.0
서서울삼성,마포구,48.92,90000,1998.0
서울가든,구로구,64.39,59500,1989.0
서울숲 한신 더 휴,성동구,84.95,182000,2003.0
서울숲르씨엘,성동구,59.507,139000,2023.0
서울숲행당푸르지오,성동구,59.81,163000,2011.0
서초그랑자이,서초구,59.98,315000,2021.0
서초자이,서초구,116.85,246500,2006.0
서초포레스타3단지,서초구,114.39,200000,2014.0
서초현대타워아파트,서초구,178.21,190000,1997.0
서초힐스,서초구,84.97,196500,2012.0
선경2차(8동-12동),강남구,127.75,480000,1985.0
성내동삼성아파트,강동구,59.88,137500,1999.0
성북프라자,강북구,68.675,48500,2009.0
성원,동작구,84.32,142000,1994.0
성원,서대문구,115.06,85000,2001.0
센트럴파크,용산구,102.861,363000,2020.0
센트럴파크,용산구,114.501,375000,2020.0
센트럴파크,용산구,135.384,490000,2020.0
수명산롯데캐슬,양천구,84.96,77000,2008.0
수서,강남구,59.94,182000,1992.0
수서한아름,강남구,129.45,231000,1993.0
수유벽산1차,강북구,63.78,51000,1993.0
순복음(초원),영등포구,66.94,103000,1971.0
시흥베르빌,금천구,81.16,72900,2004.0
신길자이,영등포구,59.99,122700,2011.0
신내6대주,중랑구,49.77,59800,1996.0
래미안장위퍼스트하이,성북구,116.91,149000,2020.0
녹천역두산위브아파트,노원구,84.934,75000,2017.0
노원센트럴푸르지오,노원구,84.999,103000,2021.0
남성,영등포구,58.52,105000,1983.0
남산타운,중구,84.88,172700,2002.0
남산타운,중구,84.88,164000,2002.0
e-편한세상,강남구,84.987,146500,2005.0
남가좌동현대,서대문구,59.4,93000,1999.0
낙성대현대아파트,관악구,136.11,65000,1988.0
꿈의숲해링턴플레이스,강북구,84.67,101500,2019.0
길음뉴타운7단지(두산위브),성북구,59.99,114000,2010.0
금호어울림,서대문구,84.759,106000,2016.0
구로두산위브,구로구,83.39,87000,2006.0
구로두산위브,구로구,36.88,58000,2006.0
강남 더샵 포레스트,강남구,146.688,345000,2016.0
광장현대9단지,광진구,84.96,159100,1999.0
관악푸르지오,관악구,84.75,130000,2004.0
관악산신도브래뉴,금천구,104.51,69000,2006.0
관악드림(동아),관악구,84.96,123000,2003.0
갑을,송파구,59.73,95000,1996.0
가우디캐슬,동대문구,29.68,31000,2019.0
고척LIG리가1차,구로구,84.91,88000,2009.0
고덕자이,강동구,84.445,187000,2021.0
고덕자이,강동구,84.445,190000,2021.0
고덕숲아이파크,강동구,84.85,168000,2018.0
고덕센트럴IPARK,강동구,59.91,172000,2019.0
고덕그라시움,강동구,84.046,240000,2019.0
고덕그라시움,강동구,59.052,200000,2019.0
경희궁롯데캐슬,종로구,59.673,172000,2019.0
경남아너스빌,중랑구,84.961,85500,2006.0
가양역두산위브,강서구,84.74,113000,2022.0
건영캐스빌,중랑구,84.647,79999,2006.0
순복음(초원),영등포구,66.94,103000,1971.0
건영1,송파구,84.39,184000,1996.0
건영,영등포구,95.64,115000,1985.0
강남센트럴아이파크,강남구,59.945,283000,2022.0
개포자이프레지던스,강남구,84.597,360000,2023.0
개포자이프레지던스,강남구,59.975,292000,2023.0
개포래미안포레스트,강남구,112.73,373000,2020.0
가람,강남구,75.16,284500,1993.0
개포래미안포레스트,강남구,84.86,318000,2020.0
개포래미안포레스트,강남구,84.83,331000,2020.0
개봉동현대아이파크,구로구,117.74,108000,2006.0
개봉동현대아이파크,구로구,84.98,108000,2006.0
개봉동현대아이파크,구로구,59.99,87000,2006.0
개나리래미안,강남구,144.55,355000,2006.0
강남브리즈힐,강남구,84.98,138500,2014.0
강남센트럴아이파크,강남구,59.994,273000,2022.0
가락미륭아파트,송파구,50.0,153000,1986.0
강변한신코아,마포구,77.22,138000,1992.0
가락(1차)쌍용아파트,송파구,84.69,201000,1997.0
강남데시앙포레,강남구,59.97,208000,2014.0
강동리엔파크14단지,강동구,49.69,88000,2021.0
LG선릉에클라트(B),강남구,36.35,37000,2004.0
